"review_title","review_rating","review_text","review_verified","page_number","agency_name","review_date"
"Successo insperato",5,"Successo insperato. Devo dire che non speravo di ottenere il rimborso completo del volo cancellato e del volo che ho dovuto acquistare in compensazione. Consiglio di usufruire di questo servizio, il rientro non è immediato, c'è voluto oltre un anno, ma alla fine mi sento meno defraudato dal comportamento della compagnia. ",TRUE,1,"RimborsoalVolo.it ",2024-03-24 12:49:51
"Professionalità ",5,"In tutta sincerità mi sono affidata, inizialmente, con un po' di diffidenza. Ma è subito emersa l'affidabilità e la professionalità sia dello studio degli avvocati sia delle operatrici WhatsApp... Lo consiglio vivamente.Alberta Sari ",TRUE,1,"RimborsoalVolo.it ",2024-03-25 14:16:26
"Ottenere il risarcimento dovuto senza costi",5,"Mi sono affidato al Team di RimborsoalVolo dopo una doppia cancellazione di un volo per le vacanze estive. Il loro Team è molto efficiente e segue molto professionalmente i casi affidati. Al termine di una procedura lunga per ragioni tecnico-burocratiche ho ottenuto il primo risarcimento con l'assistenza di RimborsoalVolo. Suggerisco caldamente l'assistenza di RimborsoalVolo. Mauro",FALSE,1,"RimborsoalVolo.it ",2024-03-24 13:50:17
"Un team di professionisti eccezionali",5,"Un team di professionisti eccezionali, un plauso particolare a Giorgia. Mi hanno fatto ottenere un rimborso dalla compagni aerea per le negligenze verificatesi durante il viaggio. La compagnia non aveva mai risposto alle mie richieste e grazie al team di Rimborso al Volo siamo riusciti a riavere i soldi indietro. Flussi molto semplici e veloci e grande disponibilità.",TRUE,1,"RimborsoalVolo.it ",2024-03-19 13:37:55
"Ottimo servizio",5,"Ho provato Rimborso al Volo su alcuni viaggi in cui ho avuto forti ritardi.Inizialmente mi ero affidato a in servizio concorrente a pagamento che mi ha rigettato il dossier.Ho tentato di provare altri servizi e mi sono imbattuto in Rimborso al Volo che non sono ha preso in carico la pratica, ma sono riuscito a ottenere quanto mi aspettava e senza spendere un centesimo.Il mio scetticismo si è quindi trasformato in euforia.I tempi di ottenimento del rimborso non è immediato, ma il personale risponde con celerità alle richieste sull'avanzamento delle pratiche affidate.Sicuramente lo utilizzerò ancora se dovesse sorgere la necessità e lo consiglio vivamente.",TRUE,1,"RimborsoalVolo.it ",2024-03-22 00:54:40
"Non ci speravo ma alla fine ho ottenuto…",5,"Non ci speravo ma alla fine ho ottenuto il mio rimborso grazie a RimborsoalVolo. Purtroppo non sono pratiche veloci, io ho ottenuto il rimborso dopo quasi un anno ma l'importante è averlo ottenuto! Vi consiglio di affidarvi a loro!",TRUE,1,"RimborsoalVolo.it ",2024-03-26 21:18:49
"Volo cancellato rimborso respinto dalla compagnia",5,"Rimborso al volo è stato fantastico.  Ci hanno cancellato un volo due anni fa e dopo aver provato direttamente con la compagnia aerea non ero riuscita ad averne il rimborso per un volo cancellato a mezzanotte senza riprotezione. Grazie a rimborso al volo e con pochi passaggi semplici si sono occupati loro GRATUITAMENTE della pratica e ho ottenuto il rimborso dovuto. Grazie per la vostra efficienza e professionalità. Mi hanno sempre tenuta aggiornata sulla pratica",TRUE,1,"RimborsoalVolo.it ",2024-03-18 17:29:08
"Bisogna essere pazienti ",5,"La mia pratica è durata quasi 2 anni, ma alla fine ho avuto il rimborso da WizzAir. Avevo quasi perso le speranze. Volo cancellato all'ultimo senza nemmeno provvedere ad una soluzione. Dovetti prenotare un nuovo volo con un'altra compagnia da un giorno all'altro. Purtroppo queste compagnie aeree sono delle vere e proprie associazioni a delinquere. Faranno di tutto pur di non pagare e ritardare il pagamento una volta vinta la causa. Francesca di rimborsovolo è stata molto professionale e comprensiva. Vale la pena aspettare.",TRUE,1,"RimborsoalVolo.it ",2024-03-18 16:54:57
"Fantastici ",5,"Consiglio vivamente Rimborsoalvolo, grazie a loro, dopo un anno e mezzo sono riuscito ad attenere il rimborso di 857€ per un volo cancellato da wizz air W65654. Siete fantastici. Servizio totalmente GRATUITO , totalmente a costo zero. Aprire la pratica è davvero facile e nel caso la sig. Giulia è sempre a disposizione a rispondere tempestivamente alle mail. Grazie ancora",TRUE,1,"RimborsoalVolo.it ",2024-03-19 17:15:12
"Chiarezza e rapidità",5,"La chiarezza dei vari passaggi, l'efficienza operativa, il costante aggiornamento e la rapidità dei tempi. In passato feci un'altra esperienza con un'altra azienda, ma i tempi furono decisamente più lunghi e l'operatività non sempre chiara. Complimenti!",TRUE,1,"RimborsoalVolo.it ",2024-03-20 09:35:12
"Al top come sempre con rimborso al volo!",5,"Consiglio a tutti di rivolgersi a #RimborsoAlVolo. Per la seconda volta ho ottenuto il risarcimento che mi spettava, visto che mi avevano cancellato il volo! Molto disponibili e affidabili! Grazie ancora! ",TRUE,2,"RimborsoalVolo.it ",2024-03-24 13:00:35
"Rimborso ottenuto!",5,"Grazie a Rimborsoalvolo ho ottenuto un rimborso di ben 1000 (250 € a persona),per un volo annullato mentre ci stavamo per imbarcare a Londra verso Bergamo orio al serio.Ci hanno sempre tenuti aggiornati sugli sviluppi della richiesta di rimborso alla quale secondo Rayanair non avremmo avuto diritto. Invece grazie alla competenza dello staff di Rimborsoalvolo siamo riusciti ad avere ciò che per legge ci spettava.",TRUE,2,"RimborsoalVolo.it ",2024-03-11 12:26:58
"Primo rimborso accolto e chiuso",5,"Io ho due richieste di rimborso aperte: la prima per una cancellazione a giugno dell'anno scorso e la seconda per perdita di bagaglio. La settimana scorsa mi è giunto il rimborso della cancellazione. Do 5 stelle perché in questi mesi Rimborso Al Volo mi ha sempre tenuta aggiornata sulla situazione, quindi ottimo servizio al cliente. ",TRUE,2,"RimborsoalVolo.it ",2024-03-18 15:48:24
"RIMBORSO OTTENUTO GRAZIE A RIMBORSOALVOLO.IT",5,"POSSO DIRE SOLO CHE SONO STATI FANTASTICI. MI HANNO FATTO OTTENERE UN RIMBORSO DI 1000 EURO PER UNA CANCELLAZIONE DI UN VOLO DELLA COMPAGNIA WIZZ AIR ANCHE SE LA COMPAGNIA INIZIALMENTE AVEVA NEGATO LA RESPONSABILITà. TUTTO GRATUITO E DOPO CIRCA 7 MESI DI ATTESA. CONSIGLIATO IN MANIERA ASSOLUTA.",TRUE,2,"RimborsoalVolo.it ",2024-03-18 19:33:11
"Esperienza positiva ",5,"Esperienza positiva , e’ la seconda volta che uso il servizio offerto da rimborso al volo e in entrambi le volte ho ottenuto il rimborso , la seconda volta ho dovuto aspettare un po’ più tempo , per ulteriore causa , ma alla fine tutto bene. Consigliatissimo",TRUE,2,"RimborsoalVolo.it ",2024-03-20 00:28:18
"Complimenti!!",5,"Complimenti!!! Siete stati davvero davvero fantastici !!!Siete riusciti a farci avere il rimborso per un volo soppresso all’ultimo minuto prenotato con wizzair Io e mio marito vi siamo riconoscenti ! Siete seri e di parola . Fidatevi , questo è stato un servizio gratuito senza spendere un centesimo . Ancora mille grazie! ",TRUE,2,"RimborsoalVolo.it ",2024-03-16 18:47:50
"Esperienza eccellente",5,"Esperienza eccellente! Sono riuscito ad ottenere i soldi dopo 2 anni, ma l’attesa ne è valsa la pena e sono stato costantemente aggiornato. Tania ha dimostrato un’immensa professionalità, alla prossima occasione mi rivolgerò a loro. ",TRUE,2,"RimborsoalVolo.it ",2024-03-17 14:18:03
"Esperienza ottima con Rimborsoalvolo",5,"La mia esperienza con Rimborsoalvolo è stata molto positiva e mi ha consentito di ottenere il corretto risarcimento previsto dalla legge e che il vettore Ryanair non intendeva però riconoscermi. Contattare il team di Rimborsoalvolo è stato facile e risolutivo, dal primo contatto via web, attraverso tutte le fasi del ricorso e fino alla sentenza del giudice di pace. Sottolineo che il servizio è stato per me totalmente a costo zero e non esiterei a ricontattarli in futuro per altre simili esigenze.",FALSE,2,"RimborsoalVolo.it ",2024-03-19 17:56:20
"Mi chiamo Liliya vorrei ringraziare RimborsoalVolo.it ",5,"Mi chiamo Liliya vorrei ringraziare tantissimo RimborsoalVolo.it per aver fatto di tutto per farmi avere il rimborso  (il giorno 05 Marzo 2024) per il volo Ryanair cancellato del 22 Settembre 2022 partenza Cagliari arrivo Ciampino. Se avete problemi con qualsiasi compagnia aerea consiglio di contattare il RimborsoalVolo.it un grande staff di avvocati, faranno tutto il lavoro  a costo zero. Grazie ",TRUE,2,"RimborsoalVolo.it ",2024-03-15 10:26:45
"Super consigliato ",5,"Tempi lunghi (dovuti anche alla compagnia aerea) ma servizio efficiente e gratuito. Risposte alle mail molto rapide Super consigliato ",TRUE,2,"RimborsoalVolo.it ",2024-03-24 17:57:48
"Consiglio Rimborsoalvolo!",5,"Rimborsoalvolo ha curato la mia pratica di rimborso di due voli a costo zero e, nel tempo, ho sempre avuto pronta risposta alle domande che ponevo. Ho ricevuto un rimborso pieno dopo circa un anno e mezzo dall'apertura della pratica. Seri e presenti.Consigliato! Se dovessi avere altri problemi simili in futuro, mi rivolgerò di nuovo a loro.",TRUE,2,"RimborsoalVolo.it ",2024-03-19 07:31:40
"SERVIZIO DI COMPETENZA E PROFESSIONALITA'",5,"L'esperienza effettuata grazie al vostro servizio è stata estremamente di supporto nei confronti del cliente e dei danni arrecati dalla compagnia aerea. Sono stata seguita in tutte le fasi e aggiornata istantaneamente, e infine siete riusciti a vincere la causa facendomi ottenere il rimborso che mi spettava. Consiglierò il vostro servizio a chiunque si sia trovato in situazioni di disagio dovute a ritardi o cancellazione di voli. Competenza e professionalità nelle vostre mani !",TRUE,2,"RimborsoalVolo.it ",2024-03-12 18:31:28
"rimborso ottenuto",5,"Ho atteso un anno perchè la compagnia tardava a rimborsare, però alla fine senza alcuno stress o dispendio economico, ho ricevuto il bonifico. Grazie",TRUE,2,"RimborsoalVolo.it ",2024-03-22 12:19:29
"Consigliatissimo!",5,"Affidabili, organizzati e completamente digitalizzati. Ottima esperienza! I tempi possono essere lunghi (nel mio caso, oltre 2 anni) ma il rimborso è arrivato esattamente con le modalità e le cifre previste. Consigliatissimo! ",TRUE,2,"RimborsoalVolo.it ",2024-03-20 23:58:53
"Non definirei l'esperienza fantastica…",5,"Non definirei l'esperienza fantastica ma bella ed utile.Raccomanderei a tutti di non buttare niente di quello che concerne il viaggio, una volta arrivati.Tutto può essere utile (boarding pass etc)E' la prima volta che ricevo un compenso per un errore di una compagnia aerea e questo va a vostro merito.",TRUE,2,"RimborsoalVolo.it ",2024-03-25 13:39:20
"Efficaci ed efficienti",5,"Sono rimasta molto soddisfatta del lavoro svolto da parte di RimborsoalVolo.it, considerato che solo in seguito al loro intervento, la Compagnia Aerea ci ha riconosciuto e rimborsato il risarcimento (per un ritardo del volo, attesa superiore alle 3h). E' stato inoltre sorprendete scoprire che tutto questa procedura è stata fattibile tramite il contatto online e via mail, per cui anche la comunicazione con RimborsoalVolo.it è stata super semplice. Per tutta la procedura ci sono voluti ca 5-6 mesi ma ne è valsa sicuramente la pena. Grazie di tutto, vi sto già facendo pubblicità nella mia cerchia nel caso si trovassero nella stessa situazione:)  Flo",TRUE,2,"RimborsoalVolo.it ",2024-03-12 12:58:35
"Rimborso ottenuto ",5,"Mi ero quasi dimenticato di questa disavventura con il volo, il bonifico è stata una piacevole sorpresa,Grazie a Rimborsoalvolo per aver lavorato in questo periodo per farmi ottenere il rimborso.I tempi non sono immediati ma l’importante è che sia arrivato.Spero di non avere più disavventure con i voli ma in caso contrario saprei a chi rivolgermi.Consigliato.Giacomo ",TRUE,2,"RimborsoalVolo.it ",2024-03-18 17:04:46
"Eccellente",5,"Ho affidato la mia pratica a RimborsoAlVolo.it e loro hanno gestito in autonomia tutto fino al rimborso finale tenendomi aggiornato ad ogni nuovo step e senza che io dovessi fare o dire nulla…che dire…cosa volere di più!",FALSE,2,"RimborsoalVolo.it ",2024-03-18 08:40:57
"Cosa volere di più! ",5,"Ho affidato la mia pratica a RimborsoAlVolo.it e loro hanno gestito in autonomia tutto fino al rimborso finale tenendomi aggiornato ad ogni nuovo step e senza che io dovessi fare o dire nulla…che dire…cosa volere di più!",TRUE,2,"RimborsoalVolo.it ",2024-03-18 06:09:12
"Complimenti!",5,"ervizio eccellente. Ho scoperto di loro casualmente, in seguito ad una cancellazione del mio volo. Complimenti allo staff, super competente e veloci nelle pratiche ( da non sottovalutare). Il rimborso è avvenuto regolarmente. Complimenti davvero.",TRUE,2,"RimborsoalVolo.it ",2024-03-16 22:56:58
"Rimborso arrivato, top del top ",5,"Rimborso arrivato dopo 3 mesi, sono top! ",TRUE,3,"RimborsoalVolo.it ",2024-04-06 12:13:34
"Rimborso ricevuto 👍🏼 ",4,"Ho dovuto aspettare parecchio tempo, più di un anno, però alla fine è arrivato il rimborso direttamente sul conto bancario che avevo indicato una volta che la mia pratica era stata accettata. ",TRUE,3,"RimborsoalVolo.it ",2024-03-24 02:00:18
"tutto bene grazie",5,"questa è la prima volta che ho avuto bisogno di Rimborsoalvolo, devo dire che sono stati veramente bravi a risolvere la situazione in modo positivo. che dire sono professionali , puntuali e chiari a riferire sulle strategie sulla causa.grazie di tutto. ",TRUE,3,"RimborsoalVolo.it ",2024-03-16 23:47:04
"Esperienza alla fine positiva, ma con alcuni dubbi sulla procedura",3,"La pratica è iniziata nel mese di agosto del 2022 e si è conclusa a fine febbraio 2024. Devo dire che inizialmente è stata seguita in modo molto professionale e con un feedback adeguato sulle fasi della pratica. Tuttavia la cosa che mi ha indispettito è stata il fatto che mi sia stata mandata una copia di ricorso al giudice di pace e poi questo ricorso non sia mai andato in porto. Anzi, quando immaginavo che sarebbe stato discusso, mi è stato detto che si era addivenuti ad un accordo transattivo con la compagnia con dei lunghi tempi di pagamento. La cosa poteva anche andare bene se ci fosse stata trasparenza ed i contenuti di questa transazione, non dico fossero stati concordati, ma almeno a me resi noti.Invece mi è stato opposta una ragione di riservatezza che ritengo inopportuna (si tratta della mia pratica ed ho diritto a sapere come viene gestita). Per farla breve è saltato ogni riferimento temporale e solo dopo varie insistenze è arrivato il rimborso (da loro e non dalla compagnia).Sicuramente la transazione consente loro di massimizzare  l'introito, ma questo dovrebbe avvenire in trasparenza con il tutelato.",FALSE,3,"RimborsoalVolo.it ",2024-03-21 01:16:16
"UNA GARANZIA, SE NON CI FOSSERO BISOGNEREBBE INVENTARLI",5,"Seri, veloci e affidabili. Hanno preso in carico la mia richiesta di rimborso e mi hanno aggiornato costantemente sugli sviluppi. Compiono un servizio molto importante che è quello di difendere il consumatore dagli abusi derivanti dal mancato rispetto del diritto comunitario da parte delle compagnie aeree.",TRUE,3,"RimborsoalVolo.it ",2024-03-12 13:41:39
"Volo ROMA - CATANIA",5,"Ho ottenuto un rimborso di 250 euro per un volo in ritardo Roma - Catania di settembre 2020 in ritardo di 4 ore..ci è voluto un pò di tempo ma alla fine abbiamo ottenuto quello che volevo.",FALSE,3,"RimborsoalVolo.it ",2024-03-27 09:42:03
"Completamente soddisfatto di come è strutturato il loro servizio.",5,"Servizio Semplice e intuitivo. Una volta fornito tutto quello che serve basta lasciarli lavorare in pace senza sollecitazioni perché non dipende da loro ma dai tempi lunghi che richiedono queste pratiche. Dopo 1 anno ho ricevuto il rimborso che la compagnia aerea mi aveva rifiutato.Grazie mille per il servizio che prestate ai consumatori. ",TRUE,3,"RimborsoalVolo.it ",2024-03-08 12:56:49
"Rimborsata ✅",4,"L’attesa del rimborso è abbastanza lunga, infatti sono passati 9 mesi dal viaggio, ma nonostante questo sono stata rimborsata, per ritardo del volo di ritorno di più di 4 ore. Quindi ottimo direi ☺️",TRUE,3,"RimborsoalVolo.it ",2024-03-16 17:42:56
"Servizio efficiente ",5,"Grazie a RimborsoalVolo sono riuscito ad ottenere il rimborso di tutte le spese sostenere. Lo consiglio a tutti coloro che hanno avuto problemi con voli. Istituto efficiente. Ancora grazie ",TRUE,3,"RimborsoalVolo.it ",2024-03-18 21:54:23
"Molto professionali e veloci",4,"Molto professionali e veloci nella parte iniziale della pratica. L'unico neo i tempi lunghissimi, un anno per ottenere il rimborso. Sicuramente per le tante richieste da gestire, ma quello che conta ê il risultato. Consiglio. Grazie! ",TRUE,3,"RimborsoalVolo.it ",2024-03-16 19:57:10
"Professionalità e disponibilità",5,"Professionali, sempre disponibili, le tempistiche per i rimborsi sono bibliche ma non dipendono da loro.La gestione della pratica è semplice e chiara sia in fase di inserimento, che durante tutto l'iter.Grazie mille",TRUE,3,"RimborsoalVolo.it ",2024-03-17 21:17:25
"Rimborso ottenuto!",5,"Nonostante la compagnia aerea abbia creato diversi problemi e fosse in ritardo con il pagamento, ho finalmente ricevuto il mio rimborso. Team affidabilissimo, efficiente, e sempre rapido nel rispondere!",TRUE,3,"RimborsoalVolo.it ",2024-03-19 16:52:08
"Servizio eccezionale ",5,"Servizio eccellente svolto da veri professionisti del settore. Il volo in forte ritardo ha causato problematiche non indifferenti compensati seppur  in parte dal rimborso ottenuto. Un po' lunghi i tempi ma giustificati dalla burocrazia. Consigliatissimi",TRUE,3,"RimborsoalVolo.it ",2024-03-08 15:02:14
"Rimborso ottenuto !",5,"Premetto che inizialmente ero molto scettica al riguardo, soprattutto perchè si trattava di un servizio totalmente gratuito da parte mia , e invece proprio oggi mi è arrivato il bonifico con il rimborso che mi spettava per un ritardo di un volo da Ibiza a Napoli di circa 2 anni fa. Si, i tempi sono stati un po' lunghi, ma ne è valsa la pena anche perchè loro sono stati sempre presenti tramite mail, aggiornandomi passo passo e sempre disponibili ad ogni mio sollecito anche su whatsapp. Che dire affidatevi a loro, sono un team pazzesco e super valido !!! Complimenti a loro!",FALSE,3,"RimborsoalVolo.it ",2024-03-07 17:10:29
"Eccellenza!",5,"Ho deciso di affidarmi a Rimborso al volo dopo una pessima esperienza con un volo cancellato senza preavviso esattamente un anno fa. Qualche giorno fa ho ricevuto il bonifico del rimborso completo che mi spettava ed in tutto il percorso mi hanno aggiornata costantemente di tutti i passaggi e mi hanno anche tranquillizzata su tutti i miei dubbi. Il tutto senza dimenticare che offrono un servizio totalmente gratuito. Competenza, professionalità e cortesia sono le parole per descriverli. ",TRUE,3,"RimborsoalVolo.it ",2024-03-08 13:10:01
"Facilità nel contattare Rimborsoalvolo.it e continuità nel supporto.",5,"Consiglio di affidarsi  a Rimborsoalvolo.it, perché nella vicenda che mi ha vi vista protagonista,  si è presa carico con efficienza, ponderatezza e serietà del risarcimento per il ritardo nella consegna bagaglio e indennizzo  a causa della ritardata partenza del volo con tratta Bari - Hannover, via Monaco nell’agosto 2023.E’ stato facile rivolgersi a Rimborsoalvolo.it e aprire la pratica. Ho apprezzato la gentilezza e disponibilità nel ricevere informazioni sullo stato della stessa, quando ho contattato la mia referente.Il servizio è a costo zero, circostanza non trascurabile. Ho definito la controversia in via transattiva con la somma concordata.Grazie Rimborsoalvolo.it",TRUE,3,"RimborsoalVolo.it ",2024-03-06 21:16:04
"Azienda affidabile",5,"Azienda affidabile. Sono passati circa 9 mesi dalla richiesta del rimborso, ma sono riusciti a farmi rimborsare ogni centesimo da Wizz Air a causa di una cancellazione di un volo. Ho acquistato un altro biglietto con un altra compagnia aerea per rientrare a casa e ho ricevuto il rimborso sia del volo cancellato sia del nuovo volo da me acquistato. ",TRUE,3,"RimborsoalVolo.it ",2024-03-09 12:08:31
"Rimborso al volo è riuscito a farci…",4,"Rimborso al volo è riuscito a farci ottenere il rimborso per un volo in ritardo del 2019. Molto bravi, avrei però gradito qualche comunicazione in più nell' attesa. Un paio di anni fa ho scritto varie mail senza mai ottenere risposta. Immagino che siano molto impegnati, ma potrebbero avere delle mail automatiche che periodicamente informano l'utente che la pratica è attiva e che si sta aspettando la risposta del tribunale, ecc. Comunque, alla fine hanno ottenuto ciò che ci spettava e con l'opzione del bonifico immediato abbiamo ricevuto i soldi sul conto corrente in fretta (rinunciando al 25% dell' importo totale). Comunque, li consiglio. Grazie! ",FALSE,3,"RimborsoalVolo.it ",2024-03-06 15:02:50
"Rimborso aereo per ritardo, marzo 2024",5,"Sintetizzo in poche parole l'operato di RimborsoalVolo che li contraddistingue: Serietà, Velocità, Semplicità e Puntualità senza alcun costo per l'interessato.. Di più non si può chiedere, complimenti veri..👏👏👏",TRUE,3,"RimborsoalVolo.it ",2024-03-18 17:40:42
"Il servizio è stato fantastico",5,"Il servizio è stato fantastico. Il mio volo ha fatto più di 3 ore di ritardo a maggio e onestamente non mi aspettavo di ricevere nessun rimborso, ma ho comunque provato a fare richiesta sul sito per vedere cosa succede. Il febbraio seguente invece, dopo 9 mesi, ho effettivamente ricevuto i 250€ di rimborso promessi senza nessuna fatica o spesa a parte compilare la richiesta. Lo consiglio.",TRUE,3,"RimborsoalVolo.it ",2024-03-06 12:38:07
"eccellente servizio",5,"Mi sono rivolta a RimborsoalVolo su suggerimento di conoscenti che già avevano usufruito dell'ottimo servizio. Confermo con immenso piacere e gratitudine che il servizio è eccellente. Gli operatori hanno risposto tempestivamente ad ogni mia domanda con chiarezza e gentilezza e in maniera professionale sono riusciti a farmi avere il rimborso (che mi era stato negato dalla compagnia aerea) tenendomi sempre informata e aggiornata sullo stato del provvedimento. Lo consiglio vivamente a chiunque dovesse averne bisogno. Grazie!!!",TRUE,4,"RimborsoalVolo.it ",2024-03-04 18:40:28
"Eccellente servizio",5,"Volo serale cancellato dalla compagnia aerea ad agosto 2022 senza alcun preavviso. Ho dovuto ricomprarmi il volo e sostenere delle ulteriori spese. Mi sono rivolto subito a Rimborsoalvolo e, nonostante delle tempistiche molto lunghe dovute alla compagnia aerea che non pagava, sono riuscito a riavere il risarcimento completo. Professionali ed eccellenti sotto ogni aspetto, mi rivolgerò sicuramente a loro se avrò (spero di no) simili problemi in futuro. ",FALSE,4,"RimborsoalVolo.it ",2024-03-05 12:23:09
"Efficacia al 100%",4,"Mi sono trovata benissimo in quanto a disponibilità e precisione dell'addetta di rimborso al volo con cui sono entrata in contatto che mi ha seguito dall'inizio della pratica fino alla fine. Ogni volta che scrivevo, ricevevo riscontro. I tempi del rimborso sono stati molto lunghi ma questo non dipende dalla società Rimborso al volo ma dalla compagnia aerea. alla fine ho ottenuto il rimborso esattmente per quanto prospettato dalla società Rimborso al volo",TRUE,4,"RimborsoalVolo.it ",2024-03-07 11:07:16
"Rimborsato e soddisfatto !",4,"Sempre presenti nelle comunicazioni, magari non velocissimi nel recupero del credito ma comunque molto molto efficienti! Rifarei di nuovo con loro dovesse capitare nuovamente, speriamo di no!",TRUE,4,"RimborsoalVolo.it ",2024-03-18 19:44:21
"Complimenti",5,"Complimenti, pensavo fossero solo propaganda per sfruttare il mondo delle pubblicità via social, invece avete fatto un ottimo lavoro mantenendo gli impegni presi. Complimenti ancora per il servizio che date hai clienti",TRUE,4,"RimborsoalVolo.it ",2024-03-07 14:57:34
